model,n,tqs_mean,tqs_median,tqs_std,tqs_min,tqs_max,predicted_likert_mean,predicted_likert_std
Llama4,800,0.5818908684866853,0.5852717300589942,0.10062198599889208,0.24456328408853878,0.8394373258244439,3.327563473946741,0.4024879439955683
GPT-5.5,800,0.5437866426082129,0.516873204376431,0.09859221724430978,0.2442716689489639,0.7983144209122834,3.1751465704328514,0.3943688689772391
Gemini,800,0.5129660065176277,0.4961901017670722,0.10998913853563204,0.2449536376103456,0.8110576154536551,3.0518640260705108,0.43995655414252816
