model,persona,n,tqs_mean,tqs_median,tqs_std,tqs_min,tqs_max,predicted_likert_mean,predicted_likert_std
Llama4,persona_1,400,0.585369810605417,0.59302975875121,0.10256517957814565,0.24456328408853878,0.8394373258244439,3.341479242421668,0.4102607183125826
Llama4,persona_2,400,0.5784119263679535,0.5825126575448185,0.0986461389315277,0.25061363106390044,0.818653355791418,3.313647705471814,0.3945845557261108
GPT-5.5,persona_1,400,0.5526566726295216,0.5351750702064577,0.10217218307687617,0.2442716689489639,0.7921151150774186,3.2106266905180867,0.4086887323075047
GPT-5.5,persona_2,400,0.5349166125869041,0.5051368383671396,0.09417169605313198,0.24859557593128784,0.7983144209122834,3.1396664503476166,0.37668678421252794
Gemini,persona_1,400,0.5263575177409517,0.5002873540393192,0.1157417875311382,0.2450894326183245,0.8110576154536551,3.105430070963807,0.4629671501245528
Gemini,persona_2,400,0.49957449529430376,0.49321329496592037,0.10232211677317876,0.2449536376103456,0.7748023526345469,2.998297981177215,0.4092884670927151
