model,shot_type,n,tqs_mean,tqs_median,tqs_std,tqs_min,tqs_max,predicted_likert_mean,predicted_likert_std
Llama4,zero_shot,400,0.6163626589094939,0.6097893286093286,0.09733539537591614,0.24456328408853878,0.818653355791418,3.4654506356379757,0.38934158150366455
GPT-5.5,few_shot,400,0.5507724647477521,0.5196606469175579,0.09838630782869795,0.2455752697185032,0.7921151150774186,3.2030898589910084,0.3935452313147918
Llama4,few_shot,400,0.5474190780638765,0.5228985936318984,0.09175074526010388,0.24463705555437198,0.8394373258244439,3.189676312255506,0.3670029810404155
GPT-5.5,zero_shot,400,0.5368008204686736,0.5072525873602648,0.09842509314332745,0.2442716689489639,0.7983144209122834,3.147203281874695,0.3937003725733098
Gemini,few_shot,400,0.5133202465135561,0.496569299303382,0.1100525868706425,0.2449536376103456,0.8110576154536551,3.053280986054225,0.44021034748257
Gemini,zero_shot,400,0.5126117665216993,0.495732104956636,0.11006233479171428,0.24573308720941567,0.8064608646541533,3.050447066086797,0.4402493391668571
