model,period,n,tqs_mean,tqs_median,tqs_std,tqs_min,tqs_max,predicted_likert_mean,predicted_likert_std
Llama4,after,400,0.5906061292693665,0.5968293650144777,0.11956432472470287,0.24463705555437198,0.8394373258244439,3.3624245170774656,0.47825729889881147
Llama4,before,400,0.573175607704004,0.5797774492756562,0.0763349429344862,0.24456328408853878,0.7974825363728599,3.292702430816016,0.3053397717379448
GPT-5.5,after,400,0.5626105080114331,0.5518797491358096,0.10893048020175271,0.24653851931807957,0.7983144209122834,3.2504420320457323,0.43572192080701083
GPT-5.5,before,400,0.5249627772049926,0.5058132347846345,0.08299946449334383,0.2442716689489639,0.7464893877565513,3.0998511088199705,0.33199785797337533
Gemini,before,400,0.5155539656307727,0.5016772022086149,0.08660924179067186,0.24698693335573163,0.8025854585827914,3.062215862523091,0.34643696716268746
Gemini,after,400,0.5103780474044828,0.48762280173546474,0.12927084596995198,0.2449536376103456,0.8110576154536551,3.041512189617931,0.5170833838798079
